AÑO FISCAL;SALARIO MENSUAL;RETENCION MENSUAL
2017;77800;8032.94
2017;77850;8045.44
2017;77900;8057.94
2017;77950;8070.44
2017;78000;8082.94
2017;78050;8095.44
2017;78100;8107.94
2017;78150;8120.44
2017;78200;8132.94
2017;78250;8145.44
2017;78300;8157.94
2017;78350;8170.44
2017;78400;8182.94
2017;78450;8195.44
2017;78500;8207.94
2017;78550;8220.44
2017;78600;8232.94
2017;78650;8245.44
2017;78700;8257.94
2017;78750;8270.44
2017;78800;8282.94
2017;78850;8295.44
2017;78900;8307.94
2017;78950;8320.44
2017;79000;8332.94
2017;79050;8345.44
2017;79100;8357.94
2017;79150;8370.44
2017;79200;8382.94
2017;79250;8395.44
2017;79300;8407.94
2017;79350;8420.44
2017;79400;8432.94
2017;79450;8445.44
2017;79500;8457.94
2017;79550;8470.44
2017;79600;8482.94
2017;79650;8495.44
2017;79700;8507.94
2017;79750;8520.44
2017;79800;8532.94
2017;79850;8545.44
2017;79900;8557.94
2017;79950;8570.44
2017;80000;8582.94
2017;80050;8595.44
2017;80100;8607.94
2017;80150;8620.44
2017;80200;8632.94
2017;80250;8645.44
2017;80300;8657.94
2017;80350;8670.44
2017;80400;8682.94
2017;80450;8695.44
2017;80500;8707.94
2017;80550;8720.44
2017;80600;8732.94
2017;80650;8745.44
2017;80700;8757.94
2017;80750;8770.44
2017;80800;8782.94
2017;80850;8795.44
2017;80900;8807.94
2017;80950;8820.44
2017;81000;8832.94
2017;81050;8845.44
2017;81100;8857.94
2017;81150;8870.44
2017;81200;8882.94
2017;81250;8895.44
2017;81300;8907.94
2017;81350;8920.44
2017;81400;8932.94
2017;81450;8945.44
2017;81500;8957.94
2017;81550;8970.44
2017;81600;8982.94
2017;81650;8995.44
2017;81700;9007.94
2017;81750;9020.44
2017;81800;9032.94
2017;81850;9045.44
2017;81900;9057.94
2017;81950;9070.44
2017;82000;9082.94
2017;82050;9095.44
2017;82100;9107.94
2017;82150;9120.44
2017;82200;9132.94
2017;82250;9145.44
2017;82300;9157.94
2017;82350;9170.44
2017;82400;9182.94
2017;82450;9195.44
2017;82500;9207.94
2017;82550;9220.44
2017;82600;9232.94
2017;82650;9245.44
2017;82700;9257.94
2017;82750;9270.44
2017;82800;9282.94
2017;82850;9295.44
2017;82900;9307.94
2017;82950;9320.44
2017;83000;9332.94
2017;83050;9345.44
2017;83100;9357.94
2017;83150;9370.44
2017;83200;9382.94
2017;83250;9395.44
2017;83300;9407.94
2017;83350;9420.44
2017;83400;9432.94
2017;83450;9445.44
2017;83500;9457.94
2017;83550;9470.44
2017;83600;9482.94
2017;83650;9495.44
2017;83700;9507.94
2017;83750;9520.44
2017;83800;9532.94
2017;83850;9545.44
2017;83900;9557.94
2017;83950;9570.44
2017;84000;9582.94
2017;84050;9595.44
2017;84100;9607.94
2017;84150;9620.44
2017;84200;9632.94
2017;84250;9645.44
2017;84300;9657.94
2017;84350;9670.44
2017;84400;9682.94
2017;84450;9695.44
2017;84500;9707.94
2017;84550;9720.44
2017;84600;9732.94
2017;84650;9745.44
2017;84700;9757.94
2017;84750;9770.44
2017;84800;9782.94
2017;84850;9795.44
2017;84900;9807.94
2017;84950;9820.44
2017;85000;9832.94
2017;85050;9845.44
2017;85100;9857.94
2017;85150;9870.44
2017;85200;9882.94
2017;85250;9895.44
2017;85300;9907.94
2017;85350;9920.44
2017;85400;9932.94
2017;85450;9945.44
2017;85500;9957.94
2017;85550;9970.44
2017;85600;9982.94
2017;85650;9995.44
2017;85700;10007.94
2017;85750;10020.44
2017;85800;10032.94
2017;85850;10045.44
2017;85900;10057.94
2017;85950;10070.44
2017;86000;10082.94
2017;86050;10095.44
2017;86100;10107.94
2017;86150;10120.44
2017;86200;10132.94
2017;86250;10145.44
2017;86300;10157.94
2017;86350;10170.44
2017;86400;10182.94
2017;86450;10195.44
2017;86500;10207.94
2017;86550;10220.44
2017;86600;10232.94
2017;86650;10245.44
2017;86700;10257.94
2017;86750;10270.44
2017;86800;10282.94
2017;86850;10295.44
2017;86900;10307.94
2017;86950;10320.44
2017;87000;10332.94
2017;87050;10345.44
2017;87100;10357.94
2017;87150;10370.44
2017;87200;10382.94
2017;87250;10395.44
2017;87300;10407.94
2017;87350;10420.44
2017;87400;10432.94
2017;87450;10445.44
2017;87500;10457.94
2017;87550;10470.44
2017;87600;10482.94
2017;87650;10495.44
2017;87700;10507.94
2017;87750;10520.44
2017;87800;10532.94
2017;87850;10545.44
2017;87900;10557.94
2017;87950;10570.44
2017;88000;10582.94
2017;88050;10595.44
2017;88100;10607.94
2017;88150;10620.44
2017;88200;10632.94
2017;88250;10645.44
2017;88300;10657.94
2017;88350;10670.44
2017;88400;10682.94
2017;88450;10695.44
2017;88500;10707.94
2017;88550;10720.44
2017;88600;10732.94
2017;88650;10745.44
2017;88700;10757.94
2017;88750;10770.44
2017;88800;10782.94
2017;88850;10795.44
2017;88900;10807.94
2017;88950;10820.44
2017;89000;10832.94
2017;89050;10845.44
2017;89100;10857.94
2017;89150;10870.44
